0,Fields group,Management of the resource,,,,,,,,,,,Metadata of the conglomerate artefact (description of the item),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Link(s) to related resources,
0,,,,,,,,,,,,,Conglomerate artefact identity,,,,Related entities,,,Conglomerate artefact typology,,,,,Conglomerate artefact format,,,,,,Copper-plates set format,,,,,,,Place of original exposition,,Place of discovery,,,,,,,Place of preservation,,,,,,,,,,,Rights,,,,
0,Fields,Identifier of the resource,Origin of the metadata,DHARMA import,Editor of the metadata,Date of the edition,Contributor of the metadata,Reviewer,Date of review,Project,Corpus,Distribution rights of the metadata,Identifier of the conglomerate artefact,Designation,Alternative designation,Alternative designation,Identifier(s) of the text(s),Identifier(s) of the artefact(s),Identifier of the monument,Artefact type 1,Artefact type 2,Material type 1,Material type 2,Iconography and decoration,Height,Width,Depth,Diameter,Circumference,Weight,Binding ring,Preservation of seal,Sealing technique,Height of the seal,Width of the seal,History of the artefact,Remarks,Place of original exposition,Place of original exposition ID,Place of discovery,Place of discovery ID,Place of discovery coordinates,discovery events,discovery events,discovery events,discovery events,Collection or place of preservation,Inventory number,Collection ID or place of preservation ID,Affirming in situ status,Place of preservation coordinates,preservation events,preservation events,preservation events,preservation events,preservation events,preservation events,Governmental rights holder,Institution or private person,Distribution rights of the artefact,Identifier of the surrogate,Identifier of the digital image
,,CONARTDaksinaKosala000012,,,,,,,,DHARMA,DaksinaKosala,CC0,CONARTDaksinaKosala000012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,
,,CONARTDaksinaKosala000013,,,,,,,,DHARMA,DaksinaKosala,CC0,CONARTDaksinaKosala000013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,
,,CONARTDaksinaKosala000014,,,,,,,,DHARMA,DaksinaKosala,CC0,CONARTDaksinaKosala000014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,
,,CONARTDaksinaKosala000015,,,,,,,,DHARMA,DaksinaKosala,CC0,CONARTDaksinaKosala000015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,
,,CONARTDaksinaKosala000016,,,,,,,,DHARMA,DaksinaKosala,CC0,CONARTDaksinaKosala000016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,
,,CONARTDaksinaKosala000017,,,,,,,,DHARMA,DaksinaKosala,CC0,CONARTDaksinaKosala000017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,
,,CONARTDaksinaKosala000018,,,,,,,,DHARMA,DaksinaKosala,CC0,CONARTDaksinaKosala000018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,
,,CONARTDaksinaKosala000019,,,,,,,,DHARMA,DaksinaKosala,CC0,CONARTDaksinaKosala000019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,
,,CONARTDaksinaKosala000020,,,,,,,,DHARMA,DaksinaKosala,CC0,CONARTDaksinaKosala000020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,
,,CONARTDaksinaKosala000021,,,,,,,,DHARMA,DaksinaKosala,CC0,CONARTDaksinaKosala000021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,
,,CONARTDaksinaKosala000022,,,,,,,,DHARMA,DaksinaKosala,CC0,CONARTDaksinaKosala000022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,
,,CONARTDaksinaKosala000023,,,,,,,,DHARMA,DaksinaKosala,CC0,CONARTDaksinaKosala000023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,
,,CONARTDaksinaKosala000024,,,,,,,,DHARMA,DaksinaKosala,CC0,CONARTDaksinaKosala000024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,
,,CONARTDaksinaKosala000025,,,,,,,,DHARMA,DaksinaKosala,CC0,CONARTDaksinaKosala000025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,
,,CONARTDaksinaKosala000026,,,,,,,,DHARMA,DaksinaKosala,CC0,CONARTDaksinaKosala000026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,
,,CONARTDaksinaKosala000027,,,,,,,,DHARMA,DaksinaKosala,CC0,CONARTDaksinaKosala000027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,
,,CONARTDaksinaKosala000028,,,,,,,,DHARMA,DaksinaKosala,CC0,CONARTDaksinaKosala000028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,
,,CONARTDaksinaKosala000029,,,,,,,,DHARMA,DaksinaKosala,CC0,CONARTDaksinaKosala000029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,
