0,Fields group,Management of the resource,,,,,,,,,,,Metadata of the conglomerate artefact (description of the item),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Link(s) to related resources,,,0
0,,,,,,,,,,,,,Conglomerate artefact identity,,,,Related entities,,,Conglomerate artefact typology,,,,,,Conglomerate artefact format,,,,,,Copper-plates set format,,,,,,,,Date,,,,Place of original exposition,,,Place of discovery,,,,,,,Place of preservation,,,,,,,,,Rights,,,,,0
0,Fields,Identifier of the resource,Origin of the metadata,DHARMA import,Editor of the metadata,Date of the edition,Contributor of the metadata,Reviewer,Date of review,Project,Corpus,Distribution rights of the metadata,Identifier of the conglomerate artefact,Designation,Alternative designation,Alternative designation,Identifier(s) of the text(s),Identifier(s) of the artefact(s),Identifier of the monument,Artefact type 1,Reuse,Artefact type 2,Material type 1,Material type 2,Iconography and decoration,Height,Width,Depth,Diameter,Circumference,Weight,Plates (observed),Plates (estimated),Binding information,Foliation information,Preservation of seal,Sealing technique,Height of the seal,Width of the seal,CE Date,Date range,History of the artefact,Remarks,Current Availability,Place of original exposition,Place of original exposition ID,Place of discovery,Place of discovery ID,Place of discovery coordinates,discovery events 1 (type),discovery events 1 (date),discovery events 2 (type),discovery events 2 (date),Collection or place of preservation,Collection ID or place of preservation ID,Inventory number,preservation events,preservation events,preservation events,preservation events,preservation events,preservation events,Institution or private person,Distribution rights of the artefact,Identifier of the surrogate,Identifier of the digital image,Link to external repository of images,0
,,CONARTPallava000010,,,,,,,,DHARMA,Pallava,CC0,CONARTPallava000010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,,
,,CONARTPallava000011,,,,,,,,DHARMA,Pallava,CC0,CONARTPallava000011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,,
,,CONARTPallava000012,,,,,,,,DHARMA,Pallava,CC0,CONARTPallava000012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,,
,,CONARTPallava000013,,,,,,,,DHARMA,Pallava,CC0,CONARTPallava000013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,,
,,CONARTPallava000014,,,,,,,,DHARMA,Pallava,CC0,CONARTPallava000014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,,
,,CONARTPallava000015,,,,,,,,DHARMA,Pallava,CC0,CONARTPallava000015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,,
,,CONARTPallava000016,,,,,,,,DHARMA,Pallava,CC0,CONARTPallava000016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,,
,,CONARTPallava000017,,,,,,,,DHARMA,Pallava,CC0,CONARTPallava000017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,,
,,CONARTPallava000018,,,,,,,,DHARMA,Pallava,CC0,CONARTPallava000018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,,
,,CONARTPallava000019,,,,,,,,DHARMA,Pallava,CC0,CONARTPallava000019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,,
,,CONARTPallava000020,,,,,,,,DHARMA,Pallava,CC0,CONARTPallava000020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,,
,,CONARTPallava000021,,,,,,,,DHARMA,Pallava,CC0,CONARTPallava000021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,,
,,CONARTPallava000022,,,,,,,,DHARMA,Pallava,CC0,CONARTPallava000022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,,
,,CONARTPallava000023,,,,,,,,DHARMA,Pallava,CC0,CONARTPallava000023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,,
,,CONARTPallava000024,,,,,,,,DHARMA,Pallava,CC0,CONARTPallava000024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,,
,,CONARTPallava000025,,,,,,,,DHARMA,Pallava,CC0,CONARTPallava000025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,,
,,CONARTPallava000026,,,,,,,,DHARMA,Pallava,CC0,CONARTPallava000026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,,
,,CONARTPallava000027,,,,,,,,DHARMA,Pallava,CC0,CONARTPallava000027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,,
,,CONARTPallava000028,,,,,,,,DHARMA,Pallava,CC0,CONARTPallava000028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,,
,,CONARTPallava000029,,,,,,,,DHARMA,Pallava,CC0,CONARTPallava000029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,,
,,CONARTPallava000030,,,,,,,,DHARMA,Pallava,CC0,CONARTPallava000030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,,
,,CONARTPallava000031,,,,,,,,DHARMA,Pallava,CC0,CONARTPallava000031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,,
,,CONARTPallava000032,,,,,,,,DHARMA,Pallava,CC0,CONARTPallava000032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,,
,,CONARTPallava000033,,,,,,,,DHARMA,Pallava,CC0,CONARTPallava000033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,,
,,CONARTPallava000034,,,,,,,,DHARMA,Pallava,CC0,CONARTPallava000034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,,
,,CONARTPallava000035,,,,,,,,DHARMA,Pallava,CC0,CONARTPallava000035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,,
,,CONARTPallava000036,,,,,,,,DHARMA,Pallava,CC0,CONARTPallava000036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,,
