0,Fields group,Management of the resource,,,,,,,,,,,Metadata of the artefact (description of the item),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Link(s) to related resources,,0
0,,,,,,,,,,,,,Artefact identity,,,,Related entities,,,Artefact typology,,,,,,Artefact format,,,,,,Copper-plate Format,,,,,,,,,Place of original exposition,,Place of discovery,,,,,,,Place of preservation,,,,,,,,,,,Rights,,,,,0
0,Fields,Identifier of the resource,Origin of the metadata,DHARMA import,Editor of the metadata,Date of the edition,Contributor of the metadata,Reviewer,Date of review,Project,Corpus,Distribution rights of the metadata,Identifier of the artefact,Designation,Alternative designation,Alternative designation,Identifier(s) of the text(s),Identifier of the conglomerate artefact,Identifier of the monument,Artefact type 1,Material type 1,Reuse,Artefact type 2,Material type 2,Iconography and decoration,Height,Width,Depth,Diameter,Circumference,Weight,Weight other,Binding hole,Binding ring,Preservation of seal,Sealing technique,Height of the seal,Width of the seal,History of the artefact,Remarks,Place of original exposition,Place of original exposition ID,Place of discovery,Place of discovery ID,Place of discovery coordinates,Discovery events,Date of discovery events,Discovery events,Date of discovery events,Collection or place of preservation,Inventory number,Collection ID or place of preservation ID,Affirming in situ status,Place of preservation coordinates,Preservation events,Date of preservation events,Preservation events,Date of preservation events,Preservation events,Date of preservation events,Governmental rights holder,Institution or private person,Distribution rights of the artefact,Identifier of the surrogate,Identifier of the digital image,0
,,ARTDaksinaKosala000010,,,,,,,,DHARMA,DaksinaKosala,CCO,ARTDaksinaKosala000010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,
,,ARTDaksinaKosala000011,,,,,,,,DHARMA,DaksinaKosala,CCO,ARTDaksinaKosala000011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,
,,ARTDaksinaKosala000012,,,,,,,,DHARMA,DaksinaKosala,CCO,ARTDaksinaKosala000012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,
,,ARTDaksinaKosala000013,,,,,,,,DHARMA,DaksinaKosala,CCO,ARTDaksinaKosala000013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,
,,ARTDaksinaKosala000014,,,,,,,,DHARMA,DaksinaKosala,CCO,ARTDaksinaKosala000014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,
,,ARTDaksinaKosala000015,,,,,,,,DHARMA,DaksinaKosala,CCO,ARTDaksinaKosala000015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,
,,ARTDaksinaKosala000016,,,,,,,,DHARMA,DaksinaKosala,CCO,ARTDaksinaKosala000016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,
,,ARTDaksinaKosala000017,,,,,,,,DHARMA,DaksinaKosala,CCO,ARTDaksinaKosala000017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,
,,ARTDaksinaKosala000018,,,,,,,,DHARMA,DaksinaKosala,CCO,ARTDaksinaKosala000018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,
,,ARTDaksinaKosala000019,,,,,,,,DHARMA,DaksinaKosala,CCO,ARTDaksinaKosala000019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,
,,ARTDaksinaKosala000020,,,,,,,,DHARMA,DaksinaKosala,CCO,ARTDaksinaKosala000020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,
,,ARTDaksinaKosala000021,,,,,,,,DHARMA,DaksinaKosala,CCO,ARTDaksinaKosala000021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,
,,ARTDaksinaKosala000022,,,,,,,,DHARMA,DaksinaKosala,CCO,ARTDaksinaKosala000022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,
,,ARTDaksinaKosala000023,,,,,,,,DHARMA,DaksinaKosala,CCO,ARTDaksinaKosala000023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,
,,ARTDaksinaKosala000024,,,,,,,,DHARMA,DaksinaKosala,CCO,ARTDaksinaKosala000024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,
,,ARTDaksinaKosala000025,,,,,,,,DHARMA,DaksinaKosala,CCO,ARTDaksinaKosala000025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,
,,ARTDaksinaKosala000026,,,,,,,,DHARMA,DaksinaKosala,CCO,ARTDaksinaKosala000026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,
,,ARTDaksinaKosala000027,,,,,,,,DHARMA,DaksinaKosala,CCO,ARTDaksinaKosala000027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,
,,ARTDaksinaKosala000028,,,,,,,,DHARMA,DaksinaKosala,CCO,ARTDaksinaKosala000028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,
,,ARTDaksinaKosala000029,,,,,,,,DHARMA,DaksinaKosala,CCO,ARTDaksinaKosala000029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,
,,ARTDaksinaKosala000030,,,,,,,,DHARMA,DaksinaKosala,CCO,ARTDaksinaKosala000030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,
,,ARTDaksinaKosala000031,,,,,,,,DHARMA,DaksinaKosala,CCO,ARTDaksinaKosala000031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,
,,ARTDaksinaKosala000032,,,,,,,,DHARMA,DaksinaKosala,CCO,ARTDaksinaKosala000032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,
,,ARTDaksinaKosala000033,,,,,,,,DHARMA,DaksinaKosala,CCO,ARTDaksinaKosala000033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,
,,ARTDaksinaKosala000034,,,,,,,,DHARMA,DaksinaKosala,CCO,ARTDaksinaKosala000034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,
,,ARTDaksinaKosala000035,,,,,,,,DHARMA,DaksinaKosala,CCO,ARTDaksinaKosala000035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,
